Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
16-08-2020,,,,,
17-08-2020,59.38638306,61.18294514,58.58791144,59.88542829,951349
18-08-2020,58.08886337,60.4842781,57.98905205,58.58790858,468145
19-08-2020,58.38829041,60.18485243,57.88924519,58.68771677,689762
20-08-2020,56.79135132,59.78562284,56.16255323,57.88924935,1961031
21-08-2020,57.88924789,58.18867428,56.09268579,56.19249332,1157488
22-08-2020,,,,,
23-08-2020,,,,,
24-08-2020,56.99096298,58.18867228,56.39211024,57.88924591,898755
25-08-2020,55.89306259,57.78943588,54.99477971,57.29039068,993497
26-08-2020,56.3921051,57.49000297,54.89496957,55.89305992,838970
27-08-2020,56.19250107,57.39021057,54.49574625,54.49574625,437260
28-08-2020,56.89115906,57.6896307,56.09268741,56.3921138,508446
29-08-2020,,,,,
30-08-2020,,,,,
31-08-2020,,,,,
01-09-2020,59.58600235,61.38256445,58.08886663,59.48619102,3813677
02-09-2020,58.08886337,61.38256101,57.68962568,61.28275349,1315492
03-09-2020,58.2884903,62.38066007,58.2884903,58.88734311,1375484
04-09-2020,57.49000168,61.08312916,57.14666064,59.38637483,708574
05-09-2020,,,,,
06-09-2020,,,,,
07-09-2020,60.88352203,61.3825673,58.4960912,60.28466924,746899
08-09-2020,60.78370667,61.08313302,60.18485014,60.18485014,819176
09-09-2020,59.68580627,62.18103232,59.68580627,60.18485148,966857
10-09-2020,59.98523712,60.88352009,59.22968265,60.68390123,557776
11-09-2020,59.98523712,62.38065583,59.45625038,60.88352009,1258451
12-09-2020,,,,,
13-09-2020,,,,,
14-09-2020,60.88352203,61.78779028,58.98714851,60.88352203,991032
15-09-2020,60.88352203,60.88352203,60.1848579,60.88352203,1157065
16-09-2020,60.58408737,61.18294008,58.88733295,60.88351373,750655
17-09-2020,60.28467178,60.8835246,58.38829818,59.68581516,1209600
18-09-2020,65.9737854,66.87206844,60.18486083,62.28085332,3981937
19-09-2020,,,,,
20-09-2020,,,,,
21-09-2020,61.88160706,65.17530854,61.68198821,62.87969749,1755892
22-09-2020,60.98333359,64.87588842,58.88734487,61.18295247,1563584
23-09-2020,59.98523712,63.37874632,58.8873391,61.5821842,938445
24-09-2020,55.69344711,61.08313714,55.69344711,59.08695621,2002037
25-09-2020,56.89115906,61.08313996,56.3921138,61.08313996,1091174
26-09-2020,,,,,
27-09-2020,,,,,
28-09-2020,59.78562546,60.38447826,56.99096887,57.78944436,559616
29-09-2020,60.88352203,61.78180503,58.78753345,60.88352203,718213
30-09-2020,58.2884903,60.18486008,57.09078086,58.08887142,1090230
01-10-2020,58.2884903,60.58409782,57.29039973,60.28467142,581183
02-10-2020,58.5879097,59.18676244,57.19058156,58.08886448,646802
03-10-2020,,,,,
04-10-2020,,,,,
05-10-2020,62.48045731,62.77988747,58.3882882,59.08695224,1047501
06-10-2020,61.88160706,62.77988997,59.75966734,61.68198821,786102
07-10-2020,62.87969589,62.93059719,61.48236779,62.68007705,1074903
08-10-2020,62.77989197,63.20208457,60.84559291,62.48046178,1034499
09-10-2020,63.87779236,64.17722256,61.58218496,61.78180382,537201
10-10-2020,,,,,
11-10-2020,,,,,
12-10-2020,64.87587738,69.66671445,63.38772344,64.87587738,1787259
13-10-2020,64.17720032,66.77223321,63.20306259,65.07547537,610599
14-10-2020,64.87587738,65.67435276,62.87969654,65.07549242,326641
15-10-2020,65.17531586,66.87206674,62.58027815,66.87206674,755065
16-10-2020,65.37492371,66.87205936,63.22503757,66.87205936,604143
17-10-2020,,,,,
18-10-2020,,,,,
19-10-2020,65.07550812,67.67054993,63.97760991,66.67245927,481817
20-10-2020,64.57644653,66.17339728,63.37874109,63.97759381,546185
21-10-2020,64.57644653,64.8758767,63.17912224,64.8758767,519707
22-10-2020,64.6762619,66.77225025,63.77797901,66.17339752,652422
23-10-2020,63.9776001,64.87588308,58.04894385,62.38065681,2017688
24-10-2020,,,,,
